folder,filename,description,source,source_url,published,lines_last_redrawn,features,missing_on_disk
states/az/state_senate_districts,state_senate_districts_2025.geojson,"Arizona: State senate districts, TIGER SLDU (upper chamber). 30 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_04_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,30,
states/ca/county_subdivisions,county_subdivisions_2025.geojson,"California: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 404 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_06_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),404,
states/ca/municipalities,municipal_boundaries_2025.geojson,California: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 1619 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_06_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1619,
states/ca/school_districts,community_school_districts_2025.geojson,California: community school district boundaries (TIGER SCSD). 112 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_06_scsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),112,
states/ca/school_districts,elementary_school_districts_2025.geojson,California: elementary school district boundaries (TIGER ELSD). 517 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_06_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),517,
states/ca/school_districts,unified_school_districts_2025.geojson,California: unified (K-12) school district boundaries (TIGER UNSD). 346 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_06_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),346,
states/ca/state_house_districts,state_house_districts_2025.geojson,"California: State house of representatives districts, TIGER SLDL (lower chamber). 80 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_06_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,80,
states/ca/state_senate_districts,state_senate_districts_2025.geojson,"California: State senate districts, TIGER SLDU (upper chamber). 40 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_06_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,40,
states/co/county_subdivisions,county_subdivisions_2025.geojson,"Colorado: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 209 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_08_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),209,
states/co/municipalities,municipal_boundaries_2025.geojson,Colorado: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 482 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_08_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),482,
states/co/school_districts,unified_school_districts_2025.geojson,Colorado: unified (K-12) school district boundaries (TIGER UNSD). 178 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_08_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),178,
states/co/state_house_districts,state_house_districts_2025.geojson,"Colorado: State house of representatives districts, TIGER SLDL (lower chamber). 65 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_08_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,65,
states/co/state_senate_districts,state_senate_districts_2025.geojson,"Colorado: State senate districts, TIGER SLDU (upper chamber). 35 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_08_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,35,
states/ct/county_subdivisions,county_subdivisions_2025.geojson,"Connecticut: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 174 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_09_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),174,
states/ct/municipalities,municipal_boundaries_2025.geojson,Connecticut: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 215 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_09_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),215,
states/ct/school_districts,community_school_districts_2025.geojson,Connecticut: community school district boundaries (TIGER SCSD). 8 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_09_scsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),8,
states/ct/school_districts,elementary_school_districts_2025.geojson,Connecticut: elementary school district boundaries (TIGER ELSD). 44 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_09_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),44,
states/ct/school_districts,unified_school_districts_2025.geojson,Connecticut: unified (K-12) school district boundaries (TIGER UNSD). 114 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_09_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),114,
states/ct/state_house_districts,state_house_districts_2025.geojson,"Connecticut: State house of representatives districts, TIGER SLDL (lower chamber). 152 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_09_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,152,
states/ct/state_senate_districts,state_senate_districts_2025.geojson,"Connecticut: State senate districts, TIGER SLDU (upper chamber). 37 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_09_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,37,
states/dc/county_subdivisions,county_subdivisions_2025.geojson,"District of Columbia: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 1 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_11_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1,
states/dc/municipalities,municipal_boundaries_2025.geojson,District of Columbia: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 1 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_11_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1,
states/dc/school_districts,unified_school_districts_2025.geojson,District of Columbia: unified (K-12) school district boundaries (TIGER UNSD). 1 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_11_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),1,
states/de/county_subdivisions,county_subdivisions_2025.geojson,"Delaware: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 27 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_10_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),27,
states/de/municipalities,municipal_boundaries_2025.geojson,Delaware: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 79 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_10_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),79,
states/de/school_districts,unified_school_districts_2025.geojson,Delaware: unified (K-12) school district boundaries (TIGER UNSD). 16 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_10_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),16,
states/de/state_house_districts,state_house_districts_2025.geojson,"Delaware: State house of representatives districts, TIGER SLDL (lower chamber). 41 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_10_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,41,
states/de/state_senate_districts,state_senate_districts_2025.geojson,"Delaware: State senate districts, TIGER SLDU (upper chamber). 21 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_10_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,21,
states/fl/county_subdivisions,county_subdivisions_2025.geojson,"Florida: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 316 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_12_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),316,
states/fl/municipalities,municipal_boundaries_2025.geojson,Florida: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 958 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_12_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),958,
states/fl/school_districts,unified_school_districts_2025.geojson,Florida: unified (K-12) school district boundaries (TIGER UNSD). 67 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_12_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),67,
states/fl/state_house_districts,state_house_districts_2025.geojson,"Florida: State house of representatives districts, TIGER SLDL (lower chamber). 120 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_12_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,120,
states/fl/state_senate_districts,state_senate_districts_2025.geojson,"Florida: State senate districts, TIGER SLDU (upper chamber). 40 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_12_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,40,
states/ga/county_subdivisions,county_subdivisions_2025.geojson,"Georgia: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 586 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_13_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),586,
states/ga/municipalities,municipal_boundaries_2025.geojson,Georgia: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 676 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_13_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),676,
states/ga/school_districts,community_school_districts_2025.geojson,Georgia: community school district boundaries (TIGER SCSD). 2 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_13_scsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),2,
states/ga/school_districts,elementary_school_districts_2025.geojson,Georgia: elementary school district boundaries (TIGER ELSD). 1 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_13_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),1,
states/ga/school_districts,unified_school_districts_2025.geojson,Georgia: unified (K-12) school district boundaries (TIGER UNSD). 181 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_13_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),181,
states/ga/state_house_districts,state_house_districts_2025.geojson,"Georgia: State house of representatives districts, TIGER SLDL (lower chamber). 180 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_13_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,180,
states/ga/state_senate_districts,state_senate_districts_2025.geojson,"Georgia: State senate districts, TIGER SLDU (upper chamber). 56 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_13_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,56,
states/gu/county_subdivisions,county_subdivisions_2025.geojson,"Guam: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 20 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_66_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),20,
states/gu/municipalities,municipal_boundaries_2025.geojson,Guam: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 57 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_66_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),57,
states/gu/school_districts,unified_school_districts_2025.geojson,Guam: unified (K-12) school district boundaries (TIGER UNSD). 1 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_66_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),1,
states/hi/county_subdivisions,county_subdivisions_2025.geojson,"Hawaii: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 44 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_15_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),44,
states/hi/municipalities,municipal_boundaries_2025.geojson,Hawaii: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 163 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_15_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),163,
states/hi/school_districts,unified_school_districts_2025.geojson,Hawaii: unified (K-12) school district boundaries (TIGER UNSD). 1 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_15_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),1,
states/hi/state_house_districts,state_house_districts_2025.geojson,"Hawaii: State house of representatives districts, TIGER SLDL (lower chamber). 51 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_15_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,51,
states/hi/state_senate_districts,state_senate_districts_2025.geojson,"Hawaii: State senate districts, TIGER SLDU (upper chamber). 25 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_15_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,25,
states/ia/county_subdivisions,county_subdivisions_2025.geojson,"Iowa: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 1663 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_19_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1663,
states/ia/municipalities,municipal_boundaries_2025.geojson,Iowa: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 1026 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_19_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1026,
states/ia/school_districts,unified_school_districts_2025.geojson,Iowa: unified (K-12) school district boundaries (TIGER UNSD). 325 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_19_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),325,
states/ia/state_house_districts,state_house_districts_2025.geojson,"Iowa: State house of representatives districts, TIGER SLDL (lower chamber). 100 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_19_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,100,
states/ia/state_senate_districts,state_senate_districts_2025.geojson,"Iowa: State senate districts, TIGER SLDU (upper chamber). 50 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_19_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,50,
states/id/county_subdivisions,county_subdivisions_2025.geojson,"Idaho: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 170 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_16_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),170,
states/id/municipalities,municipal_boundaries_2025.geojson,Idaho: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 236 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_16_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),236,
states/id/school_districts,unified_school_districts_2025.geojson,Idaho: unified (K-12) school district boundaries (TIGER UNSD). 115 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_16_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),115,
states/id/state_house_districts,state_house_districts_2025.geojson,"Idaho: State house of representatives districts, TIGER SLDL (lower chamber). 35 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_16_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,35,
states/id/state_senate_districts,state_senate_districts_2025.geojson,"Idaho: State senate districts, TIGER SLDU (upper chamber). 35 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_16_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,35,
states/il/county_subdivisions,county_subdivisions_2025.geojson,"Illinois: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 1695 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_17_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1695,
states/il/municipalities,municipal_boundaries_2025.geojson,Illinois: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 1461 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_17_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1461,
states/il/school_districts,community_school_districts_2025.geojson,Illinois: community school district boundaries (TIGER SCSD). 105 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_17_scsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),105,
states/il/school_districts,elementary_school_districts_2025.geojson,Illinois: elementary school district boundaries (TIGER ELSD). 371 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_17_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),371,
states/il/school_districts,unified_school_districts_2025.geojson,Illinois: unified (K-12) school district boundaries (TIGER UNSD). 387 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_17_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),387,
states/il/state_house_districts,state_house_districts_2025.geojson,"Illinois: State house of representatives districts, TIGER SLDL (lower chamber). 119 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_17_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,119,
states/il/state_senate_districts,state_senate_districts_2025.geojson,"Illinois: State senate districts, TIGER SLDU (upper chamber). 60 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_17_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,60,
states/in/county_subdivisions,county_subdivisions_2025.geojson,"Indiana: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 1012 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_18_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1012,
states/in/municipalities,municipal_boundaries_2025.geojson,Indiana: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 974 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_18_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),974,
states/in/school_districts,unified_school_districts_2025.geojson,Indiana: unified (K-12) school district boundaries (TIGER UNSD). 291 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_18_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),291,
states/in/state_house_districts,state_house_districts_2025.geojson,"Indiana: State house of representatives districts, TIGER SLDL (lower chamber). 100 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_18_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,100,
states/in/state_senate_districts,state_senate_districts_2025.geojson,"Indiana: State senate districts, TIGER SLDU (upper chamber). 50 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_18_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,50,
states/ks/county_subdivisions,county_subdivisions_2025.geojson,"Kansas: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 1521 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_20_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1521,
states/ks/municipalities,municipal_boundaries_2025.geojson,Kansas: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 740 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_20_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),740,
states/ks/school_districts,unified_school_districts_2025.geojson,Kansas: unified (K-12) school district boundaries (TIGER UNSD). 286 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_20_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),286,
states/ks/state_board_of_education_districts,state_board_of_education_districts_2025.geojson,"Kansas State Board of Education electoral districts (10, single-member; 10-seat structure verified via Wikipedia). Unlabeled polygons.","Kansas GIS (KansasGIS, official state org)",https://services1.arcgis.com/q2CglofYX6ACNEeu/arcgis/rest/services/State_Board_of_Education_Districts/FeatureServer,unknown,current map as of 2026 (redistricting year unverified),10,
states/ks/state_house_districts,state_house_districts_2025.geojson,"Kansas: State house of representatives districts, TIGER SLDL (lower chamber). 125 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_20_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,125,
states/ks/state_senate_districts,state_senate_districts_2025.geojson,"Kansas: State senate districts, TIGER SLDU (upper chamber). 40 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_20_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,40,
states/ky/county_subdivisions,county_subdivisions_2025.geojson,"Kentucky: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 493 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_21_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),493,
states/ky/municipalities,municipal_boundaries_2025.geojson,Kentucky: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 555 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_21_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),555,
states/ky/school_districts,community_school_districts_2025.geojson,Kentucky: community school district boundaries (TIGER SCSD). 4 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_21_scsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),4,
states/ky/school_districts,elementary_school_districts_2025.geojson,Kentucky: elementary school district boundaries (TIGER ELSD). 4 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_21_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),4,
states/ky/school_districts,unified_school_districts_2025.geojson,Kentucky: unified (K-12) school district boundaries (TIGER UNSD). 170 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_21_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),170,
states/ky/state_house_districts,state_house_districts_2025.geojson,"Kentucky: State house of representatives districts, TIGER SLDL (lower chamber). 100 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_21_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,100,
states/ky/state_senate_districts,state_senate_districts_2025.geojson,"Kentucky: State senate districts, TIGER SLDU (upper chamber). 38 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_21_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,38,
